district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status,last_update
Gennevilliers,std,4.987993943248202,4.563147911421039,6.84634501824799,9.762396993483355,0.0,
Gentilly,count,1228.0,1228.0,1228.0,1228.0,1228.0,1228
Gentilly,mean,3.6099348534201954,7.789087947882736,11.399022801302932,17.289087947882734,1.0,2023-05-31 14:28:24.877035776
Gentilly,min,0.0,0.0,0.0,1.0,1.0,2023-05-28 10:50:33
Gentilly,25%,1.0,1.0,4.0,10.0,1.0,2023-05-29 13:20:33
Gentilly,50%,3.0,5.0,12.0,17.0,1.0,2023-05-31 09:12:49
Gentilly,75%,5.0,13.0,18.0,25.0,1.0,2023-06-02 21:08:18.249999872
Gentilly,max,21.0,25.0,27.0,30.0,1.0,2023-06-03 21:35:37
Gentilly,std,3.5328426249788394,6.87710099946831,7.637278219641253,8.672543949982957,0.0,
Issy-les-Moulineaux,count,6754.0,6754.0,6754.0,6754.0,6754.0,6754
Issy-les-Moulineaux,mean,2.6482084690553744,12.591057151317738,15.239265620373112,12.719869706840392,0.8827361563517915,2023-05-31 14:28:24.932040192
Issy-les-Moulineaux,min,0.0,0.0,0.0,0.0,0.0,2023-05-28 10:50:33
Issy-les-Moulineaux,25%,0.0,0.0,2.0,4.0,1.0,2023-05-29 13:20:33
Issy-les-Moulineaux,50%,2.0,11.0,14.0,12.0,1.0,2023-05-31 09:12:49
Issy-les-Moulineaux,75%,4.0,20.0,23.0,20.0,1.0,2023-06-02 21:08:18
Issy-les-Moulineaux,max,26.0,57.0,62.0,48.0,1.0,2023-06-03 21:35:37
Issy-les-Moulineaux,std,3.0882700679839363,12.582112942460695,13.848567238707576,9.685487941247649,0.32175823699293243,
Ivry-sur-Seine,count,5526.0,5526.0,5526.0,5526.0,5526.0,5526
Ivry-sur-Seine,mean,3.37766920014477,10.968874411871155,14.346543612015925,16.400470503076367,0.9444444444444444,2023-05-31 14:28:25.004886016
Ivry-sur-Seine,min,0.0,0.0,0.0,0.0,0.0,2023-05-28 10:50:33
Ivry-sur-Seine,25%,1.0,1.0,4.0,9.0,1.0,2023-05-29 13:20:33
Ivry-sur-Seine,50%,2.0,6.0,11.0,18.0,1.0,2023-05-31 09:12:49
Ivry-sur-Seine,75%,4.0,19.0,22.0,23.0,1.0,2023-06-02 21:08:18
Ivry-sur-Seine,max,19.0,47.0,51.0,39.0,1.0,2023-06-03 21:35:37
Ivry-sur-Seine,std,3.33750941847734,11.948900601835742,12.592444542043157,9.263920759208027,0.2290821522481236,
Joinville-le-Pont,count,614.0,614.0,614.0,614.0,614.0,614
Joinville-le-Pont,mean,6.625407166123779,27.433224755700326,34.0586319218241,7.469055374592834,1.0,2023-05-31 14:28:24.651465728
Joinville-le-Pont,min,0.0,13.0,24.0,0.0,1.0,2023-05-28 10:50:33
Joinville-le-Pont,25%,1.0,23.0,31.0,5.0,1.0,2023-05-29 13:23:03.500000
Joinville-le-Pont,50%,4.0,30.0,33.0,8.0,1.0,2023-05-31 09:12:48.500000
Joinville-le-Pont,75%,11.0,32.0,36.75,10.0,1.0,2023-06-02 21:05:47.249999872
Joinville-le-Pont,max,22.0,36.0,44.0,19.0,1.0,2023-06-03 21:35:37
Joinville-le-Pont,std,5.847134188552299,6.037506779772363,4.474668460531016,4.078534116786322,0.0,
La Garenne-Colombes,count,2149.0,2149.0,2149.0,2149.0,2149.0,2149
La Garenne-Colombes,mean,4.960446719404374,2.7356910190786414,7.696137738483015,12.580269892973476,1.0,2023-05-31 14:28:25.115867904
La Garenne-Colombes,min,0.0,0.0,0.0,0.0,1.0,2023-05-28 10:50:33
La Garenne-Colombes,25%,3.0,0.0,4.0,10.0,1.0,2023-05-29 13:20:33
La Garenne-Colombes,50%,4.0,2.0,7.0,13.0,1.0,2023-05-31 09:12:49
La Garenne-Colombes,75%,7.0,4.0,10.0,16.0,1.0,2023-06-02 21:08:19
La Garenne-Colombes,max,20.0,11.0,24.0,23.0,1.0,2023-06-03 21:35:37
La Garenne-Colombes,std,3.3653701135931824,2.5602491021398213,4.782736741351275,4.524781929551042,0.0,
Le Kremlin-Bicêtre,count,1535.0,1535.0,1535.0,1535.0,1535.0,1535
Le Kremlin-Bicêtre,mean,2.6306188925081435,1.6775244299674268,4.30814332247557,25.05798045602606,1.0,2023-05-31 14:28:24.859283200
Le Kremlin-Bicêtre,min,0.0,0.0,0.0,2.0,1.0,2023-05-28 10:50:33
Le Kremlin-Bicêtre,25%,1.0,0.0,1.0,18.0,1.0,2023-05-29 13:20:33
Le Kremlin-Bicêtre,50%,2.0,1.0,3.0,23.0,1.0,2023-05-31 09:12:49
Le Kremlin-Bicêtre,75%,4.0,3.0,7.0,30.0,1.0,2023-06-02 21:08:18
Le Kremlin-Bicêtre,max,15.0,12.0,21.0,45.0,1.0,2023-06-03 21:35:37
Le Kremlin-Bicêtre,std,2.484050939319556,2.2706928499461414,3.7445526022020035,9.395199741749094,0.0,
Le Pré-Saint-Gervais,count,921.0,921.0,921.0,921.0,921.0,921
Le Pré-Saint-Gervais,mean,2.528773072747014,1.3203040173724212,3.8490770901194353,19.336590662323562,1.0,2023-05-31 14:28:24.871878400
Le Pré-Saint-Gervais,min,0.0,0.0,0.0,4.0,1.0,2023-05-28 10:50:33
Le Pré-Saint-Gervais,25%,1.0,0.0,2.0,15.0,1.0,2023-05-29 13:20:33
Le Pré-Saint-Gervais,50%,2.0,1.0,3.0,20.0,1.0,2023-05-31 09:12:49
Le Pré-Saint-Gervais,75%,3.0,2.0,4.0,23.0,1.0,2023-06-02 21:08:18
Le Pré-Saint-Gervais,max,18.0,9.0,19.0,28.0,1.0,2023-06-03 21:35:37
Le Pré-Saint-Gervais,std,2.7297649830303126,1.4387911271178224,3.241044805293537,4.828544754969017,0.0,
Les Lilas,count,1228.0,1228.0,1228.0,1228.0,1228.0,1228
Les Lilas,mean,2.527687296416938,0.13436482084690554,2.6620521172638436,26.634364820846905,0.75,2023-05-31 14:28:24.938110720
Les Lilas,min,0.0,0.0,0.0,0.0,0.0,2023-05-28 10:50:33
Les Lilas,25%,0.0,0.0,0.0,11.25,0.75,2023-05-29 13:20:33
Les Lilas,50%,1.0,0.0,1.0,30.0,1.0,2023-05-31 09:12:49
Les Lilas,75%,3.0,0.0,3.0,37.0,1.0,2023-06-02 21:08:18.249999872
Les Lilas,max,33.0,3.0,34.0,49.0,1.0,2023-06-03 21:35:37
Les Lilas,std,4.651161104339238,0.4715455215996836,4.853413726361845,16.879621491094174,0.4331891177487511,
Levallois-Perret,count,3377.0,3377.0,3377.0,3377.0,3377.0,3377
Levallois-Perret,mean,3.686704175303524,5.066034942256441,8.752739117559964,22.42226828546047,1.0,2023-05-31 14:28:24.859046656
Levallois-Perret,min,0.0,0.0,0.0,0.0,1.0,2023-05-28 10:50:33
Levallois-Perret,25%,1.0,1.0,3.0,15.0,1.0,2023-05-29 13:20:33
Levallois-Perret,50%,3.0,3.0,6.0,21.0,1.0,2023-05-31 09:12:49
Levallois-Perret,75%,5.0,8.0,12.0,27.0,1.0,2023-06-02 21:08:19
Levallois-Perret,max,27.0,30.0,47.0,50.0,1.0,2023-06-03 21:35:37
Levallois-Perret,std,3.866114373473319,5.463316761627337,8.165906633695116,10.975546999519663,0.0,
Maisons-Alfort,count,2149.0,2149.0,2149.0,2149.0,2149.0,2149
Maisons-Alfort,mean,3.612843182875756,13.308050255932992,16.920893438808747,7.9255467659376455,1.0,2023-05-31 14:28:24.842717696
Maisons-Alfort,min,0.0,0.0,0.0,0.0,1.0,2023-05-28 10:50:33
Maisons-Alfort,25%,2.0,6.0,10.0,3.0,1.0,2023-05-29 13:20:33
Maisons-Alfort,50%,3.0,11.0,15.0,7.0,1.0,2023-05-31 09:12:49
Maisons-Alfort,75%,5.0,17.0,19.0,12.0,1.0,2023-06-02 21:08:19
Maisons-Alfort,max,15.0,43.0,45.0,22.0,1.0,2023-06-03 21:35:37
Maisons-Alfort,std,2.690929443536132,9.671274604810087,9.87968948794972,5.574119143719054,0.0,
Malakoff,count,2456.0,2456.0,2456.0,2456.0,2456.0,2456
Malakoff,mean,2.172231270358306,1.371742671009772,3.543973941368078,25.563517915309447,1.0,2023-05-31 14:28:24.927524352
Malakoff,min,0.0,0.0,0.0,1.0,1.0,2023-05-28 10:50:33
Malakoff,25%,0.0,0.0,1.0,18.0,1.0,2023-05-29 13:20:33
