station_id,district_name,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status,last_update
21952,Meudon,2,2,4,38,1,2023-05-30 18:42:30
21951,Meudon,1,1,2,20,1,2023-05-30 18:42:30
21953,Meudon,2,0,2,18,1,2023-05-30 18:42:30
21954,Meudon,1,0,1,22,1,2023-05-30 18:42:30
21952,Meudon,1,3,4,38,1,2023-05-30 18:52:33
21951,Meudon,1,1,2,20,1,2023-05-30 18:52:33
21953,Meudon,0,0,0,20,1,2023-05-30 18:52:34
21954,Meudon,3,0,3,20,1,2023-05-30 18:52:34
21952,Meudon,1,5,6,36,1,2023-05-31 09:12:49
21951,Meudon,2,1,3,19,1,2023-05-31 09:12:49
21953,Meudon,1,1,2,18,1,2023-05-31 09:12:49
21954,Meudon,1,1,2,20,1,2023-05-31 09:12:49
21952,Meudon,1,4,5,37,1,2023-05-31 09:22:51
21951,Meudon,3,1,4,18,1,2023-05-31 09:22:51
21953,Meudon,2,1,3,17,1,2023-05-31 09:22:51
21954,Meudon,1,1,2,20,1,2023-05-31 09:22:52
21952,Meudon,1,4,5,37,1,2023-05-31 09:32:53
21951,Meudon,3,1,4,18,1,2023-05-31 09:32:53
21953,Meudon,3,1,4,16,1,2023-05-31 09:32:53
21954,Meudon,0,1,1,21,1,2023-05-31 09:32:54
21952,Meudon,1,2,3,39,1,2023-05-31 09:42:57
21951,Meudon,3,0,3,19,1,2023-05-31 09:42:57
21953,Meudon,3,0,3,17,1,2023-05-31 09:42:57
21954,Meudon,0,1,1,21,1,2023-05-31 09:42:58
21951,Meudon,3,0,3,19,1,2023-05-31 09:53:03
21952,Meudon,1,1,2,40,1,2023-05-31 09:53:03
21953,Meudon,3,0,3,17,1,2023-05-31 09:53:03
21954,Meudon,0,1,1,21,1,2023-05-31 09:53:03
21951,Meudon,3,0,3,19,1,2023-05-31 10:03:07
21952,Meudon,1,1,2,40,1,2023-05-31 10:03:07
21953,Meudon,3,0,3,17,1,2023-05-31 10:03:07
21954,Meudon,0,1,1,21,1,2023-05-31 10:03:07
21952,Meudon,3,1,4,38,1,2023-05-31 10:13:11
21951,Meudon,3,0,3,19,1,2023-05-31 10:13:11
21953,Meudon,3,0,3,17,1,2023-05-31 10:13:11
21954,Meudon,5,1,6,16,1,2023-05-31 10:13:11
21952,Meudon,3,2,5,37,1,2023-05-31 10:23:13
21951,Meudon,3,0,3,19,1,2023-05-31 10:23:13
21953,Meudon,4,0,4,16,1,2023-05-31 10:23:13
21954,Meudon,5,0,5,17,1,2023-05-31 10:23:14
21952,Meudon,3,1,4,38,1,2023-05-31 10:33:16
21951,Meudon,3,1,4,18,1,2023-05-31 10:33:16
21953,Meudon,4,1,5,15,1,2023-05-31 10:33:16
21954,Meudon,5,0,5,17,1,2023-05-31 10:33:16
21952,Meudon,3,1,4,38,1,2023-05-31 10:43:22
21951,Meudon,4,1,5,17,1,2023-05-31 10:43:22
21953,Meudon,2,0,2,18,1,2023-05-31 10:43:22
21954,Meudon,5,0,5,17,1,2023-05-31 10:43:22
21952,Meudon,3,2,5,37,1,2023-05-31 10:53:25
21951,Meudon,4,1,5,17,1,2023-05-31 10:53:26
21953,Meudon,2,0,2,18,1,2023-05-31 10:53:26
21954,Meudon,6,0,6,16,1,2023-05-31 10:53:26
21952,Meudon,3,2,5,37,1,2023-05-31 11:03:29
